startcode,startname,endcode,endname,distance,route,sitenum,price
0,汉口北,91,杨春湖,26.525,0a1a2a3a4a5a6a7a8a9g160g166g165g97d96d95d94d93d92d91,19,7
0,汉口北,92,工业四路,25.352,0a1a2a3a4a5a6a7a8a9g160g166g165g97d96d95d94d93d92,18,7
0,汉口北,93,仁和路,23.718,0a1a2a3a4a5a6a7a8a9g160g166g165g97d96d95d94d93,17,6
0,汉口北,94,园林路,22.385,0a1a2a3a4a5a6a7a8a9g160g166g165g97d96d95d94,16,6
0,汉口北,95,罗家港,21.349,0a1a2a3a4a5a6a7a8a9g160g166g165g97d96d95,15,6
0,汉口北,96,铁机路,20.178,0a1a2a3a4a5a6a7a8a9g160g166g165g97d96,14,6
0,汉口北,97,岳家嘴,19.146,0a1a2a3a4a5a6a7a8a9g160g166g165g97,13,6
0,汉口北,98,东亭,20.074,0a1a2a3a4a5a6a7a8a9g160g166g165g97d98,14,6
0,汉口北,99,青鱼嘴,21.122,0a1a2a3a4a5a6a7a8a9g160g166g165g97d98d99,15,6
0,汉口北,100,楚河汉街,22.348,0a1a2a3a4a5a6a7a8a9g160g166g165g97d98d99d100,16,6
0,汉口北,101,梅苑小区,24.021,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102d101,16,7
0,汉口北,102,武昌火车站,23.121,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102,15,6
0,汉口北,103,首义路,24.018,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102d103,16,7
0,汉口北,104,复兴路,24.736,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102d103d104,17,7
0,汉口北,105,拦江路,22.527,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106d105,18,6
0,汉口北,106,钟家村,21.693,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106,17,6
0,汉口北,107,汉阳火车站,23.267,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106d107,18,6
0,汉口北,108,五里墩,24.279,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106d107d108,19,7
0,汉口北,109,七里庙,25.403,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106d107d108d109,20,7
0,汉口北,110,十里铺,25.845,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d110,20,7
0,汉口北,111,玉龙路,25.796,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111,20,7
0,汉口北,112,永安堂,27.039,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112,21,7
0,汉口北,113,孟家铺,28.518,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113,22,7
0,汉口北,114,黄金口,31.28,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114,23,7
0,汉口北,115,新天,34.03,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115,24,8
0,汉口北,116,集贤,35.397,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116,25,8
0,汉口北,117,知音,37.408,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116d117,26,8
0,汉口北,118,新农,39.228,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116d117d118,27,8
0,汉口北,119,凤凰路,40.681,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116d117d118d119,28,9
0,汉口北,120,蔡甸广场,42.829,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116d117d118d119d120,29,9
0,汉口北,121,临嶂大道,44.07,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116d117d118d119d120d121,30,9
0,汉口北,122,新庙村,46.151,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116d117d118d119d120d121d122,31,9
0,汉口北,123,柏林,47.568,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81d111d112d113d114d115d116d117d118d119d120d121d122d123,32,9
0,汉口北,124,车城东路,34.351,0a1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18c81c82c83c84c85c86c87c88e124,27,8
0,汉口北,125,江城大道,32.318,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106e131e130e129e128e127e126e125,24,8
0,汉口北,126,老关村,29.513,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106e131e130e129e128e127e126,23,7
0,汉口北,127,国博中心南,27.687,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106e131e130e129e128e127,22,7
0,汉口北,128,国博中心北,26.931,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106e131e130e129e128,21,7
0,汉口北,129,前进村,25.406,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106e131e130e129,20,7
0,汉口北,130,建港,24.453,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106e131e130,19,7
0,汉口北,131,马鹦路,22.975,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132e106e131,18,6
0,汉口北,132,琴台,20.76,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133e132,16,6
0,汉口北,133,武胜路,18.903,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134e133,15,6
0,汉口北,134,汉正街,18.141,0a1a2a3a4a5a6a7a8a9a10a11e53e135e134,14,6
0,汉口北,135,六渡桥,17.164,0a1a2a3a4a5a6a7a8a9a10a11e53e135,13,5
0,汉口北,136,苗栗路,15.564,0a1a2a3a4a5a6a7a8a9a10a11e136,12,5
0,汉口北,137,三眼桥,16.62,0a1a2a3a4a5a6a7a8a9a10f76e137,12,5
0,汉口北,138,唐家墩,17.573,0a1a2a3a4a5a6a7a8a9a10f76e137e138,13,5
0,汉口北,139,石桥,19.05,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139,14,6
0,汉口北,140,杨汊湖,19.894,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139e140,15,6
0,汉口北,141,轻工大学,22.965,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139e140e60e141,17,6
0,汉口北,142,园博园北,24.167,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139e140e60e141e142,18,7
0,汉口北,143,金银湖,25.915,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139e140e60e141e142e143,19,7
0,汉口北,144,金银湖公园,28.306,0a1a2a3a4a5a6a7a8a9a10f76e137e138e139e140e60e141e142e143e144,20,7
0,汉口北,145,青龙山地铁小镇,47.992,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152f151f150f149f148f147f146f145,27,9
0,汉口北,146,纸坊大街,44.749,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152f151f150f149f148f147f146,26,9
0,汉口北,147,北华街,43.388,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152f151f150f149f148f147,25,9
0,汉口北,148,谭鑫培公园,41.778,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152f151f150f149f148,24,9
0,汉口北,149,江夏客厅,39.778,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152f151f150f149,23,8
0,汉口北,150,大花岭,37.271,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152f151f150,22,8
0,汉口北,151,新路村,33.833,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152f151,21,8
0,汉口北,152,野芷湖,31.442,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153f152,20,7
0,汉口北,153,板桥,29.725,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154f153,19,7
0,汉口北,154,湖工大,28.658,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155f154,18,7
0,汉口北,155,建安街,26.364,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156f155,17,7
0,汉口北,156,瑞安街,24.981,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157f102f156,16,7
0,汉口北,157,小东门,21.747,0a1a2a3a4a5a6a7a8a9g160f159f158f51f157,14,6
0,汉口北,158,新河街,19.747,0a1a2a3a4a5a6a7a8a9g160f159f158,12,6
0,汉口北,159,湖北大学,17.68,0a1a2a3a4a5a6a7a8a9g160f159,11,5
0,汉口北,160,徐家棚,16.089,0a1a2a3a4a5a6a7a8a9g160,10,5
0,汉口北,161,取水楼,17.054,0a1a2a3a4a5a6a7a8a9a10f76f161,12,5
0,汉口北,162,常码头,21.286,0a1a2a3a4a5a6a7a8a9a10f76f161f56f79f162,15,6
0,汉口北,163,园博园,23.171,0a1a2a3a4a5a6a7a8a9a10f76f161f56f79f162f163,16,6
0,汉口北,164,梨园,20.019,0a1a2a3a4a5a6a7a8a9g160g166g165g97g164,14,6
0,汉口北,165,汪家墩,17.828,0a1a2a3a4a5a6a7a8a9g160g166g165,12,5
0,汉口北,166,徐东,17.081,0a1a2a3a4a5a6a7a8a9g160g166,11,5
0,汉口北,167,竹叶山,15.408,0a1a2a3a4a5a6a7a8a9g74g167,11,5
0,汉口北,168,中一路,16.982,0a1a2a3a4a5a6a7a8a9g74g167g168,12,5
0,汉口北,169,塔子湖,18.63,0a1a2a3a4a5a6a7a8a9g74g167g168g169,13,6
0,汉口北,170,金潭路,21.375,0a1a2a3a4a5a6a7a8a9g74g167g168g169g63g170,15,6
0,汉口北,171,左岭,56.15,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178h177h176h175h174h173h172h171,39,10
0,汉口北,172,未来三路,54.706,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178h177h176h175h174h173h172,38,10
0,汉口北,173,未来一路,52.677,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178h177h176h175h174h173,37,10
0,汉口北,174,长岭山,50.524,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178h177h176h175h174,36,10
0,汉口北,175,光谷七路,47.722,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178h177h176h175,35,9
0,汉口北,176,豹澥,46.655,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178h177h176,34,9
0,汉口北,177,光谷六路,45.522,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178h177,33,9
0,汉口北,178,光谷五路,44.596,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179h178,32,9
0,汉口北,179,光谷四路,43.309,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180h179,31,9
0,汉口北,180,光谷生物园,42.234,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181h180,30,9
0,汉口北,181,光谷同济医院,40.814,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182h181,29,9
0,汉口北,182,湖口,38.874,0a1a2a3a4a5a6a7a8a9g160f159f158f51b50b49b48b47b46b45b44b43b42b41b40b39b38b37h182,28,8
0,汉口北,183,金台,52.664,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190i189i188i187i186i185i184i183,29,10
0,汉口北,184,施岗,50.705,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190i189i188i187i186i185i184,28,10
0,汉口北,185,阳逻开发区,47.473,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190i189i188i187i186i185,27,9
0,汉口北,186,阳逻,46.013,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190i189i188i187i186,26,9
0,汉口北,187,武生院,43.226,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190i189i188i187,25,9
0,汉口北,188,军民村,42.208,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190i189i188,24,9
0,汉口北,189,沙口,38.423,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190i189,23,8
0,汉口北,190,武湖,33.795,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191i190,22,8
0,汉口北,191,高车,31.565,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192i191,21,7
0,汉口北,192,青龙,29.271,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193i192,20,7
0,汉口北,193,谌家矶,26.107,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194i193,19,7
0,汉口北,194,朱家河,25.226,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195i194,18,7
0,汉口北,195,幸福湾,22.875,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196i195,17,6
0,汉口北,196,新荣客运站,20.833,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197i196,16,6
0,汉口北,197,百步亭花园路,19.074,0a1a2a3a4a5a6a7a8a9g74c73c72c71c70i197,15,6
1,滠口新城,0,汉口北,3.41,1a0,1,2
1,滠口新城,1,滠口新城,0,1,0,0
1,滠口新城,2,藤子岗,1.12,1a2,1,2
1,滠口新城,3,堤角,2.145,1a2a3,2,2
1,滠口新城,4,新荣,3.31,1a2a3a4,3,2
1,滠口新城,5,丹水池,4.747,1a2a3a4a5,4,3
1,滠口新城,6,徐洲新村,6.272,1a2a3a4a5a6,5,3
1,滠口新城,7,二七路,7.067,1a2a3a4a5a6a7,6,3
1,滠口新城,8,头道街,7.982,1a2a3a4a5a6a7a8,7,3
1,滠口新城,9,黄浦路,9.185,1a2a3a4a5a6a7a8a9,8,4
1,滠口新城,10,三阳路,10.34,1a2a3a4a5a6a7a8a9a10,9,4
1,滠口新城,11,大智路,11.35,1a2a3a4a5a6a7a8a9a10a11,10,4
1,滠口新城,12,循礼门,12.433,1a2a3a4a5a6a7a8a9a10a11a12,11,5
1,滠口新城,13,友谊路,13.419,1a2a3a4a5a6a7a8a9a10a11a12a13,12,5
1,滠口新城,14,利济北路,14.307,1a2a3a4a5a6a7a8a9a10a11a12a13a14,13,5
1,滠口新城,15,崇仁路,15.187,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15,14,5
1,滠口新城,16,硚口路,16.329,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16,15,5
1,滠口新城,17,太平洋,17.374,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17,16,5
1,滠口新城,18,宗关,18.954,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18,17,6
1,滠口新城,19,汉西一路,19.875,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19,18,6
1,滠口新城,20,古田四路,20.695,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20,19,6
1,滠口新城,21,古田三路,21.49,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21,20,6
1,滠口新城,22,古田二路,22.397,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22,21,6
1,滠口新城,23,古田一路,23.915,1a2a3a4a5a6a7a8a9a10a11a12a13a14a15a16a17a18a19a20a21a22a23,22,6
