distance,price,route,begin_id,end_id,time
42.603,9,1a9g74c70i186,2,187,58
39.816,8,1a9g74c70i187,2,188,56
38.798,8,1a9g74c70i188,2,189,53
35.013,8,1a9g74c70i189,2,190,51
30.385,7,1a9g74c70i190,2,191,49
28.155,7,1a9g74c70i191,2,192,47
25.861,7,1a9g74c70i192,2,193,45
22.697,6,1a9g74c70i193,2,194,43
21.816,6,1a9g74c70i194,2,195,40
19.465,6,1a9g74c70i195,2,196,38
17.423,5,1a9g74c70i196,2,197,36
15.664,5,1a9g74c70i197,2,198,34
4.53,3,2a0,3,1,6
1.12,2,2a1,3,2,4
0,0,2,3,3,0
1.025,2,2a3,3,4,4
2.19,2,2a4,3,5,6
3.627,2,2a5,3,6,8
5.152,3,2a6,3,7,11
5.947,3,2a7,3,8,13
6.862,3,2a8,3,9,16
8.065,4,2a9,3,10,18
9.22,4,2a10,3,11,20
10.23,4,2a11,3,12,22
11.313,4,2a12,3,13,25
12.299,5,2a13,3,14,27
13.187,5,2a14,3,15,30
14.067,5,2a15,3,16,32
15.209,5,2a16,3,17,34
16.254,5,2a17,3,18,36
17.834,5,2a18,3,19,38
18.755,6,2a19,3,20,40
19.575,6,2a20,3,21,43
20.37,6,2a21,3,22,45
21.277,6,2a22,3,23,47
22.795,6,2a23,3,24,49
24.23,7,2a24,3,25,51
25.037,7,2a25,3,26,53
25.981,7,2a26,3,27,56
27.636,7,2a27,3,28,58
29.288,7,2a28,3,29,60
30.325,7,2a29,3,30,62
32.296,8,2a30,3,31,65
33.406,8,2a31,3,32,67
40.596,9,2a9g160f51b32,3,33,70
39.575,8,2a9g160f51b33,3,34,67
37.576,8,2a9g160f51b34,3,35,65
35.973,8,2a9g160f51b35,3,36,62
33.935,8,2a9g160f51b36,3,37,60
32.876,8,2a9g160f51b37,3,38,58
31.389,7,2a9g160f51b38,3,39,56
30.021,7,2a9g160f51b39,3,40,53
29.204,7,2a9g160f51b40,3,41,51
28.195,7,2a9g160f51b41,3,42,49
27.401,7,2a9g160f51b42,3,43,47
26.084,7,2a9g160f51b43,3,44,45
24.642,7,2a9g160f51b44,3,45,43
23.029,6,2a9g160f51b45,3,46,40
22.078,6,2a9g160f51b46,3,47,38
20.84,6,2a9g160f51b47,3,48,36
19.422,6,2a9g160f51b48,3,49,34
18.456,6,2a9g160f51b49,3,50,32
17.288,5,2a9g160f51b50,3,51,30
16.358,5,2a9g160f51,3,52,27
15.075,5,2a11e53b52,3,53,27
11.783,4,2a11e53,3,54,25
12.856,5,2a12b54,3,55,27
13.802,5,2a12b55,3,56,30
13.688,5,2a10f56,3,57,27
13.674,5,2a10f76c57,3,58,27
14.89,5,2a10f76c57b58,3,59,30
16.297,5,2a10f76c57b59,3,60,32
17.474,5,2a10f76e60,3,61,34
18.566,6,2a10f76e60b61,3,62,36
18.876,6,2a9g63b62,3,63,32
15.99,5,2a9g63,3,64,30
19.936,6,2a9g63b64,3,65,32
21.579,6,2a9g63b65,3,66,34
23.618,6,2a9g63b66,3,67,36
25.045,7,2a9g63b67,3,68,38
31.049,7,2a9g63b68,3,69,40
15.226,5,2a9g74c69,3,70,32
13.559,5,2a9g74c70,3,71,30
12.378,5,2a9g74c71,3,72,27
11.125,4,2a9g74c72,3,73,25
10.366,4,2a9g74c73,3,74,22
9.484,4,2a9g74,3,75,20
10.38,4,2a9g74c75,3,76,22
11.066,4,2a10f76,3,77,22
11.998,4,2a10f76c77,3,78,25
14.559,5,2a10f76c78,3,79,30
15.17,5,2a10f79,3,80,30
16.995,5,2a10f79c80,3,81,32
20.365,6,2a18c81,3,82,40
21.472,6,2a18c82,3,83,43
22.378,6,2a18c83,3,84,45
23.737,6,2a18c84,3,85,47
24.665,7,2a18c85,3,86,49
26.228,7,2a18c86,3,87,51
27.682,7,2a18c87,3,88,53
28.524,7,2a18c88,3,89,56
29.973,7,2a18c89,3,90,58
22.805,6,2a9g97d90,3,91,43
21.995,6,2a9g97d91,3,92,40
20.822,6,2a9g97d92,3,93,38
19.188,6,2a9g97d93,3,94,36
17.855,5,2a9g97d94,3,95,34
16.819,5,2a9g97d95,3,96,32
15.648,5,2a9g97d96,3,97,30
14.616,5,2a9g97,3,98,27
15.544,5,2a9g97d98,3,99,30
16.592,5,2a9g97d99,3,100,32
17.818,5,2a9g97d100,3,101,34
19.491,6,2a9g160f102d101,3,102,34
18.591,6,2a9g160f102,3,103,32
19.488,6,2a9g160f102d103,3,104,34
20.206,6,2a9g160f102d104,3,105,36
17.997,5,2a11e106d105,3,106,38
17.163,5,2a11e106,3,107,36
18.737,6,2a11e106d107,3,108,38
19.749,6,2a11e106d108,3,109,40
20.873,6,2a11e106d109,3,110,43
21.315,6,2a18c81d110,3,111,43
21.266,6,2a18c81d111,3,112,43
22.509,6,2a18c81d112,3,113,45
